FrameID,Uncompressed,Compressed_Mbytes,Compressed_Mbits_q=32
379,5.93,0.85,6.8
380,5.93,0.85,6.8
381,5.93,0.85,6.8
382,5.93,0.84,6.72
383,5.93,0.84,6.72
384,5.93,0.84,6.72
385,5.93,0.84,6.72
386,5.93,0.85,6.8
387,5.93,0.85,6.8
388,5.93,0.85,6.8
389,5.93,0.85,6.8
390,5.93,0.85,6.8
391,5.93,0.86,6.88
392,5.93,0.86,6.88
393,5.93,0.85,6.8
394,5.93,0.85,6.8
395,5.93,0.85,6.8
396,5.93,0.85,6.8
397,5.93,0.85,6.8
398,5.93,0.85,6.8
399,5.93,0.85,6.8
400,5.93,0.85,6.8
401,5.93,0.84,6.72
402,5.93,0.84,6.72
403,5.93,0.84,6.72
404,5.93,0.84,6.72
405,5.93,0.85,6.8
406,5.93,0.85,6.8
407,5.93,0.85,6.8
408,5.93,0.84,6.72
409,5.93,0.84,6.72
410,5.93,0.84,6.72
411,5.93,0.84,6.72
412,5.93,0.84,6.72
413,5.93,0.83,6.64
414,5.93,0.83,6.64
415,5.93,0.83,6.64
416,5.93,0.83,6.64
417,5.93,0.83,6.64
418,5.93,0.83,6.64
419,5.93,0.83,6.64
420,5.93,0.83,6.64
421,5.93,0.85,6.8
422,5.93,0.85,6.8
423,5.93,0.84,6.72
424,5.93,0.84,6.72
425,5.93,0.84,6.72
426,5.93,0.84,6.72
427,5.93,0.83,6.64
428,5.93,0.83,6.64
429,5.93,0.83,6.64
430,5.93,0.83,6.64
431,5.93,0.83,6.64
432,5.93,0.83,6.64
433,5.93,0.83,6.64
434,5.93,0.83,6.64
435,5.93,0.83,6.64
436,5.93,0.83,6.64
437,5.93,0.83,6.64
438,5.93,0.84,6.72
439,5.93,0.84,6.72
440,5.93,0.84,6.72
441,5.93,0.83,6.64
442,5.93,0.84,6.72
443,5.93,0.84,6.72
444,5.93,0.83,6.64
445,5.93,0.84,6.72
446,5.93,0.84,6.72
447,5.93,0.84,6.72
448,5.93,0.84,6.72
449,5.93,0.84,6.72
450,5.93,0.84,6.72
451,5.93,0.84,6.72
452,5.93,0.84,6.72
453,5.93,0.84,6.72
454,5.93,0.84,6.72
455,5.93,0.84,6.72
456,5.93,0.84,6.72
457,5.93,0.83,6.64
458,5.93,0.83,6.64
459,5.93,0.83,6.64
460,5.93,0.83,6.64
461,5.93,0.83,6.64
462,5.93,0.83,6.64
463,5.93,0.82,6.56
464,5.93,0.82,6.56
465,5.93,0.82,6.56
466,5.93,0.82,6.56
467,5.93,0.82,6.56
468,5.93,0.82,6.56
469,5.93,0.82,6.56
470,5.93,0.82,6.56
471,5.93,0.82,6.56
472,5.93,0.82,6.56
473,5.93,0.82,6.56
474,5.93,0.82,6.56
475,5.93,0.82,6.56
476,5.93,0.82,6.56
477,5.93,0.82,6.56
478,5.93,0.82,6.56
479,5.93,0.83,6.64
480,5.93,0.83,6.64
481,5.93,0.84,6.72
482,5.93,0.84,6.72
483,5.93,0.83,6.64
484,5.93,0.83,6.64
485,5.93,0.82,6.56
486,5.93,0.82,6.56
487,5.93,0.82,6.56
488,5.93,0.82,6.56
489,5.93,0.82,6.56
490,5.93,0.82,6.56
491,5.93,0.82,6.56
492,5.93,0.82,6.56
493,5.93,0.82,6.56
494,5.93,0.81,6.48
495,5.93,0.82,6.56
496,5.93,0.82,6.56
497,5.93,0.82,6.56
498,5.93,0.82,6.56
499,5.93,0.81,6.48
500,5.93,0.81,6.48
501,5.93,0.81,6.48
502,5.93,0.81,6.48
503,5.93,0.81,6.48
504,5.93,0.81,6.48
505,5.93,0.81,6.48
506,5.93,0.81,6.48
507,5.93,0.81,6.48
508,5.93,0.81,6.48
509,5.93,0.81,6.48
510,5.93,0.81,6.48
511,5.93,0.82,6.56
512,5.93,0.81,6.48
513,5.93,0.81,6.48
514,5.93,0.81,6.48
515,5.93,0.81,6.48
516,5.93,0.81,6.48
517,5.93,0.81,6.48
518,5.93,0.81,6.48
519,5.93,0.8,6.4
520,5.93,0.81,6.48
521,5.93,0.81,6.48
